Month,Elec_kWh_Base,Gas_kWh_Base,Total_kWh_Base,Elec_kWh_Retro,Gas_kWh_Retro,Total_kWh_Retro,Elec_Savings_kWh,Gas_Penalty_kWh,Total_Savings_kWh,Month_Name
1,26581.51,4530.98,31112.49,23608.31,5587.93,29196.24,2973.20,1056.96,1916.24,Jan
2,24601.55,2849.28,27450.84,21859.60,3400.85,25260.45,2741.95,551.57,2190.38,Feb
3,29306.53,2848.84,32155.37,26014.84,3277.59,29292.43,3291.69,428.75,2862.95,Mar
4,54911.52,4506.33,59417.84,48977.21,4925.24,53902.45,5934.30,418.91,5515.39,Apr
5,30194.61,2184.01,32378.62,26936.61,2278.01,29214.61,3258.01,94.00,3164.01,May
6,30586.93,2027.12,32614.05,27309.96,2116.40,29426.35,3276.97,89.27,3187.70,Jun
7,59711.17,3887.94,63599.11,53478.98,3896.04,57375.01,6232.19,8.10,6224.10,Jul
8,33354.05,1993.46,35347.51,29838.47,1997.41,31835.88,3515.57,3.95,3511.62,Aug
9,31067.23,1892.50,32959.73,27892.27,1897.61,29789.88,3174.96,5.11,3169.85,Sep
10,29990.07,2074.24,32064.31,26810.15,2135.00,28945.15,3179.92,60.76,3119.16,Oct
11,27146.04,2364.81,29510.85,24082.35,2663.45,26745.80,3063.69,298.64,2765.05,Nov
12,26183.04,3387.58,29570.63,23268.93,4113.20,27382.12,2914.12,725.61,2188.50,Dec
