Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.687806E-01,9.092314E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.682786E+03,1.303736E-01,1.403841E+03,3.841192E+03,3.545272E-01,9.771739E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,1.057447E-01,1.160762E+03,3.003572E+03,2.234053E-01,6.046896E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,7.251224E-02,8.251682E+02,1.976940E+03,3.401375E-01,9.496927E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,1.030392E-01,1.122986E+03,2.952530E+03,2.231860E-01,6.042709E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,8.354377E-02,9.791906E+02,2.175555E+03
00:20:00,2.687824E-01,9.092348E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.692970E+03,1.331645E-01,1.432617E+03,3.860469E+03,3.545286E-01,9.771765E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,1.077588E-01,1.181161E+03,3.012510E+03,2.234062E-01,6.046913E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,7.386850E-02,8.395220E+02,1.984020E+03,3.401389E-01,9.496954E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,1.051869E-01,1.145250E+03,2.964495E+03,2.231869E-01,6.042726E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,8.493203E-02,9.939907E+02,2.181164E+03
00:30:00,2.687841E-01,9.092381E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.703154E+03,1.355611E-01,1.455889E+03,3.870312E+03,3.545299E-01,9.771791E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,1.094175E-01,1.196598E+03,3.013868E+03,2.234070E-01,6.046930E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,7.497190E-02,8.503466E+02,1.985743E+03,3.401403E-01,9.496980E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,1.069840E-01,1.162620E+03,2.968904E+03,2.231878E-01,6.042743E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,8.604422E-02,1.004938E+03,2.181235E+03
00:40:00,2.687857E-01,9.092412E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.713338E+03,1.376318E-01,1.474614E+03,3.872392E+03,3.545312E-01,9.771816E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,1.107813E-01,1.207920E+03,3.009008E+03,2.234079E-01,6.046946E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,7.586639E-02,8.582555E+02,1.983131E+03,3.401416E-01,9.497005E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,1.084885E-01,1.175906E+03,2.967065E+03,2.231887E-01,6.042759E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,8.692898E-02,1.012712E+03,2.176872E+03
00:50:00,2.687873E-01,9.092443E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.723521E+03,1.394268E-01,1.489490E+03,3.867982E+03,3.545325E-01,9.771840E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,1.118966E-01,1.215772E+03,2.998993E+03,2.234087E-01,6.046961E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,7.658564E-02,8.637188E+02,1.976976E+03,3.401428E-01,9.497029E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,1.097449E-01,1.185728E+03,2.960007E+03,2.231895E-01,6.042775E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,8.762349E-02,1.017831E+03,2.168914E+03
01:00:00,2.687889E-01,9.092472E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.733705E+03,1.409875E-01,1.501096E+03,3.858149E+03,3.545337E-01,9.771863E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,1.128014E-01,1.220687E+03,2.984703E+03,2.234095E-01,6.046976E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,7.715725E-02,8.671215E+02,1.967917E+03,3.401441E-01,9.497052E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,1.107900E-01,1.192601E+03,2.948587E+03,2.231903E-01,6.042790E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,8.815804E-02,1.020717E+03,2.158031E+03
01:10:00,2.687904E-01,9.092501E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.740494E+03,1.426199E-01,1.517099E+03,3.862047E+03,3.545348E-01,9.771883E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,1.137354E-01,1.228582E+03,2.980423E+03,2.234102E-01,6.046989E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,7.772900E-02,8.720535E+02,1.964538E+03,3.401451E-01,9.497073E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,1.118614E-01,1.202414E+03,2.947075E+03,2.231910E-01,6.042803E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,8.868302E-02,1.024998E+03,2.152762E+03
01:20:00,2.687918E-01,9.092529E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.747283E+03,1.441055E-01,1.531052E+03,3.862708E+03,3.545358E-01,9.771903E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,1.145386E-01,1.234651E+03,2.973628E+03,2.234108E-01,6.047002E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,7.820828E-02,8.756944E+02,1.959510E+03,3.401462E-01,9.497092E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,1.127985E-01,1.210354E+03,2.942924E+03,2.231916E-01,6.042815E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,8.910715E-02,1.027870E+03,2.145880E+03
01:30:00,2.687932E-01,9.092555E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.754072E+03,1.454656E-01,1.543255E+03,3.860669E+03,3.545368E-01,9.771922E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,1.152311E-01,1.239177E+03,2.964762E+03,2.234115E-01,6.047014E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,7.860972E-02,8.782489E+02,1.953137E+03,3.401472E-01,9.497112E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,1.136213E-01,1.216697E+03,2.936580E+03,2.231923E-01,6.042828E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,8.944639E-02,1.029557E+03,2.137680E+03
01:40:00,2.687946E-01,9.092581E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.760861E+03,1.467198E-01,1.553980E+03,3.856403E+03,3.545378E-01,9.771941E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,1.158313E-01,1.242413E+03,2.954216E+03,2.234121E-01,6.047026E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,7.894633E-02,8.798981E+02,1.945682E+03,3.401481E-01,9.497130E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,1.143477E-01,1.221696E+03,2.928437E+03,2.231929E-01,6.042840E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,8.971483E-02,1.030255E+03,2.128418E+03
