Time,CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_ZN::Des Latent Heat Load [W],CORE_ZN::Des Latent Cool Load [W],CORE_ZN::Des Latent Heat Mass Flow [kg/s],CORE_ZN::Des Latent Cool Mass Flow [kg/s],CORE_ZN::Des Heat Load No DOAS [W],CORE_ZN::Des Sens Cool Load No DOAS [W],CORE_ZN::Des Latent Heat Load No DOAS [W],CORE_ZN::Des Latent Cool Load No DOAS [W],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],CORE_ZN:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],CORE_ZN:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1::Des Latent Heat Load [W],PERIMETER_ZN_1::Des Latent Cool Load [W],PERIMETER_ZN_1::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_1::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_1::Des Heat Load No DOAS [W],PERIMETER_ZN_1::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_1::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_1::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],PERIMETER_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2::Des Latent Heat Load [W],PERIMETER_ZN_2::Des Latent Cool Load [W],PERIMETER_ZN_2::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_2::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_2::Des Heat Load No DOAS [W],PERIMETER_ZN_2::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_2::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_2::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],PERIMETER_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3::Des Latent Heat Load [W],PERIMETER_ZN_3::Des Latent Cool Load [W],PERIMETER_ZN_3::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_3::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_3::Des Heat Load No DOAS [W],PERIMETER_ZN_3::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_3::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_3::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],PERIMETER_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4::Des Latent Heat Load [W],PERIMETER_ZN_4::Des Latent Cool Load [W],PERIMETER_ZN_4::Des Latent Heat Mass Flow [kg/s],PERIMETER_ZN_4::Des Latent Cool Mass Flow [kg/s],PERIMETER_ZN_4::Des Heat Load No DOAS [W],PERIMETER_ZN_4::Des Sens Cool Load No DOAS [W],PERIMETER_ZN_4::Des Latent Heat Load No DOAS [W],PERIMETER_ZN_4::Des Latent Cool Load No DOAS [W],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],PERIMETER_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Temperature [C],PERIMETER_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Cooling Zone Relative Humidity [%]
00:10:00,4.341404E+03,1.983829E+04,2.239838E-01,1.531148E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052708E+01,2.669467E+01,3.944754E+01,5.725701E+03,1.490472E+04,2.954393E-01,1.141240E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571730E+01,2.669615E+01,3.912712E+01,3.608137E+03,9.057452E+03,1.861711E-01,6.989987E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546738E+01,2.669588E+01,3.921113E+01,5.493307E+03,1.492385E+04,2.834479E-01,1.142705E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553364E+01,2.669615E+01,3.912559E+01,3.604596E+03,9.203227E+03,1.859884E-01,7.102477E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546290E+01,2.669589E+01,3.919422E+01
00:20:00,4.341433E+03,1.991048E+04,2.239853E-01,1.536710E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052713E+01,2.669476E+01,3.940440E+01,5.725724E+03,1.495711E+04,2.954405E-01,1.145246E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571732E+01,2.669621E+01,3.908851E+01,3.608151E+03,9.090036E+03,1.861718E-01,7.015093E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546740E+01,2.669594E+01,3.917183E+01,5.493330E+03,1.497901E+04,2.834491E-01,1.146922E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553366E+01,2.669622E+01,3.908687E+01,3.604611E+03,9.235239E+03,1.859891E-01,7.127142E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546292E+01,2.669596E+01,3.915553E+01
00:30:00,4.341460E+03,1.997127E+04,2.239867E-01,1.541390E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052717E+01,2.669489E+01,3.938133E+01,5.725745E+03,1.500002E+04,2.954416E-01,1.148525E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571733E+01,2.669632E+01,3.907011E+01,3.608165E+03,9.116426E+03,1.861725E-01,7.035417E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546741E+01,2.669605E+01,3.915256E+01,5.493352E+03,1.502453E+04,2.834502E-01,1.150401E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553367E+01,2.669632E+01,3.906836E+01,3.604625E+03,9.260935E+03,1.859898E-01,7.146929E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546294E+01,2.669607E+01,3.913677E+01
00:40:00,4.341487E+03,2.002311E+04,2.239881E-01,1.545379E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052722E+01,2.669499E+01,3.936194E+01,5.725766E+03,1.503546E+04,2.954427E-01,1.151232E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571735E+01,2.669640E+01,3.905548E+01,3.608179E+03,9.137949E+03,1.861732E-01,7.051983E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546743E+01,2.669614E+01,3.913688E+01,5.493373E+03,1.506244E+04,2.834513E-01,1.153297E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553369E+01,2.669640E+01,3.905362E+01,3.604638E+03,9.281658E+03,1.859905E-01,7.162878E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546295E+01,2.669615E+01,3.912148E+01
00:50:00,4.341513E+03,2.006786E+04,2.239894E-01,1.548821E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052726E+01,2.669507E+01,3.934353E+01,5.725787E+03,1.506495E+04,2.954437E-01,1.153483E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571736E+01,2.669646E+01,3.904179E+01,3.608192E+03,9.155608E+03,1.861739E-01,7.065568E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546744E+01,2.669620E+01,3.912213E+01,5.493393E+03,1.509427E+04,2.834524E-01,1.155728E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553371E+01,2.669647E+01,3.903983E+01,3.604652E+03,9.298429E+03,1.859912E-01,7.175776E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546297E+01,2.669622E+01,3.910708E+01
01:00:00,4.341538E+03,2.010688E+04,2.239907E-01,1.551822E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052731E+01,2.669514E+01,3.932562E+01,5.725806E+03,1.508965E+04,2.954448E-01,1.155368E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571737E+01,2.669651E+01,3.902853E+01,3.608204E+03,9.170165E+03,1.861746E-01,7.076761E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546746E+01,2.669626E+01,3.910781E+01,5.493413E+03,1.512121E+04,2.834534E-01,1.157783E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553372E+01,2.669652E+01,3.902647E+01,3.604664E+03,9.312020E+03,1.859919E-01,7.186224E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546298E+01,2.669627E+01,3.909311E+01
01:10:00,4.341562E+03,2.014431E+04,2.239920E-01,1.554699E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052735E+01,2.669521E+01,3.930807E+01,5.725824E+03,1.511281E+04,2.954456E-01,1.157135E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571739E+01,2.669656E+01,3.901556E+01,3.608216E+03,9.183611E+03,1.861751E-01,7.087097E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546747E+01,2.669631E+01,3.909382E+01,5.493430E+03,1.514649E+04,2.834543E-01,1.159713E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553374E+01,2.669657E+01,3.901342E+01,3.604675E+03,9.324439E+03,1.859925E-01,7.195767E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546299E+01,2.669632E+01,3.907945E+01
01:20:00,4.341585E+03,2.017819E+04,2.239932E-01,1.557304E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052739E+01,2.669527E+01,3.929508E+01,5.725840E+03,1.513305E+04,2.954465E-01,1.158679E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571740E+01,2.669661E+01,3.900600E+01,3.608226E+03,9.195167E+03,1.861757E-01,7.095976E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546748E+01,2.669636E+01,3.908357E+01,5.493447E+03,1.516874E+04,2.834551E-01,1.161411E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553375E+01,2.669661E+01,3.900378E+01,3.604686E+03,9.334912E+03,1.859930E-01,7.203810E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546301E+01,2.669637E+01,3.906950E+01
01:30:00,4.341608E+03,2.020910E+04,2.239944E-01,1.559680E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052743E+01,2.669533E+01,3.928299E+01,5.725856E+03,1.515087E+04,2.954473E-01,1.160038E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571741E+01,2.669665E+01,3.899714E+01,3.608237E+03,9.205162E+03,1.861762E-01,7.103657E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546750E+01,2.669640E+01,3.907407E+01,5.493463E+03,1.518846E+04,2.834560E-01,1.162916E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553376E+01,2.669665E+01,3.899485E+01,3.604696E+03,9.343777E+03,1.859935E-01,7.210618E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546302E+01,2.669641E+01,3.906027E+01
01:40:00,4.341630E+03,2.023751E+04,2.239955E-01,1.561864E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099201E+01,4.052748E+01,2.669538E+01,3.927122E+01,5.725872E+03,1.516668E+04,2.954481E-01,1.161244E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099434E+01,4.571742E+01,2.669668E+01,3.898853E+01,3.608247E+03,9.213871E+03,1.861767E-01,7.110350E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546751E+01,2.669644E+01,3.906482E+01,5.493479E+03,1.520608E+04,2.834568E-01,1.164261E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099433E+01,4.553378E+01,2.669669E+01,3.898617E+01,3.604707E+03,9.351314E+03,1.859941E-01,7.216407E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099388E+01,4.546303E+01,2.669645E+01,3.905128E+01
