Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.687806E-01,9.092314E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.682786E+03,1.896013E+00,2.605556E+04,2.995705E+04,3.545272E-01,9.771739E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,1.414254E+00,1.943211E+04,2.212857E+04,2.234053E-01,6.046896E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,8.653057E-01,1.189510E+04,1.355431E+04,3.401375E-01,9.496927E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,1.415850E+00,1.945439E+04,2.215108E+04,2.231860E-01,6.042709E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,8.787894E-01,1.208339E+04,1.374619E+04
00:20:00,2.687824E-01,9.092348E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.692970E+03,1.902645E+00,2.613812E+04,2.997423E+04,3.545286E-01,9.771765E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,1.419029E+00,1.949116E+04,2.214089E+04,2.234062E-01,6.046913E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,8.682990E-01,1.193238E+04,1.356324E+04,3.401389E-01,9.496954E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,1.420877E+00,1.951697E+04,2.216700E+04,2.231869E-01,6.042726E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,8.817301E-01,1.211994E+04,1.375429E+04
00:30:00,2.687841E-01,9.092381E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.703154E+03,1.908227E+00,2.620605E+04,2.999652E+04,3.545299E-01,9.771791E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,1.422939E+00,1.953812E+04,2.215606E+04,2.234070E-01,6.046930E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,8.707226E-01,1.196171E+04,1.357322E+04,3.401403E-01,9.496980E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,1.425026E+00,1.956727E+04,2.218559E+04,2.231878E-01,6.042743E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,8.840896E-01,1.214837E+04,1.376339E+04
00:40:00,2.687857E-01,9.092412E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.713338E+03,1.912985E+00,2.626248E+04,3.001014E+04,3.545312E-01,9.771816E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,1.426166E+00,1.957557E+04,2.216396E+04,2.234079E-01,6.046946E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,8.726983E-01,1.198478E+04,1.357819E+04,3.401416E-01,9.497005E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,1.428479E+00,1.960788E+04,2.219671E+04,2.231887E-01,6.042759E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,8.859915E-01,1.217041E+04,1.376733E+04
00:50:00,2.687873E-01,9.092443E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.723521E+03,1.917091E+00,2.630980E+04,3.001501E+04,3.545325E-01,9.771840E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,1.428850E+00,1.960543E+04,2.216459E+04,2.234087E-01,6.046961E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,8.743184E-01,1.200289E+04,1.357835E+04,3.401428E-01,9.497029E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,1.431378E+00,1.964074E+04,2.220041E+04,2.231895E-01,6.042775E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,8.875295E-01,1.218738E+04,1.376632E+04
01:00:00,2.687889E-01,9.092472E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.733705E+03,1.920670E+00,2.634976E+04,3.001261E+04,3.545337E-01,9.771863E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,1.431097E+00,1.962919E+04,2.215917E+04,2.234095E-01,6.046976E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,8.756530E-01,1.201701E+04,1.357454E+04,3.401441E-01,9.497052E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,1.433830E+00,1.966735E+04,2.219791E+04,2.231903E-01,6.042790E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,8.887750E-01,1.220025E+04,1.376123E+04
01:10:00,2.687904E-01,9.092501E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.740494E+03,1.924104E+00,2.639108E+04,3.002098E+04,3.545348E-01,9.771883E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,1.433205E+00,1.965357E+04,2.216149E+04,2.234102E-01,6.046989E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,8.768859E-01,1.203123E+04,1.357504E+04,3.401451E-01,9.497073E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,1.436132E+00,1.969445E+04,2.220299E+04,2.231910E-01,6.042803E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,8.899130E-01,1.221315E+04,1.376037E+04
01:20:00,2.687918E-01,9.092529E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.747283E+03,1.927212E+00,2.642785E+04,3.002924E+04,3.545358E-01,9.771903E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,1.435046E+00,1.967422E+04,2.216252E+04,2.234108E-01,6.047002E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,8.779450E-01,1.204302E+04,1.357476E+04,3.401462E-01,9.497092E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,1.438157E+00,1.971768E+04,2.220666E+04,2.231916E-01,6.042815E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,8.908720E-01,1.222355E+04,1.375867E+04
01:30:00,2.687932E-01,9.092555E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.754072E+03,1.930047E+00,2.646079E+04,3.003433E+04,3.545368E-01,9.771922E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,1.436667E+00,1.969178E+04,2.216085E+04,2.234115E-01,6.047014E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,8.788609E-01,1.205281E+04,1.357270E+04,3.401472E-01,9.497112E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,1.439953E+00,1.973768E+04,2.220748E+04,2.231923E-01,6.042828E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,8.916834E-01,1.223187E+04,1.375513E+04
01:40:00,2.687946E-01,9.092581E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.760861E+03,1.932654E+00,2.649052E+04,3.003633E+04,3.545378E-01,9.771941E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,1.438105E+00,1.970678E+04,2.215669E+04,2.234121E-01,6.047026E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,8.796588E-01,1.206094E+04,1.356904E+04,3.401481E-01,9.497130E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,1.441558E+00,1.975500E+04,2.220569E+04,2.231929E-01,6.042840E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,8.923730E-01,1.223849E+04,1.374992E+04
