infiltration_mult,faulty_energy_kwh,fixed_energy_kwh,energy_savings_kwh,cost_savings_usd
0.5498665484751167,766969.882942607,781300.8189328974,-14330.935990290367,-2149.640398543555
0.5306623853722039,766366.2599232112,781300.8189328974,-14934.559009686229,-2240.183851452934
0.5404933185827181,766675.1812097139,781300.8189328974,-14625.637723183492,-2193.8456584775236
0.6734575928634197,770870.3524443583,781300.8189328974,-10430.466488539125,-1564.5699732808687
0.6097579889673714,768856.6444426037,781300.8189328974,-12444.17449029372,-1866.626173544058
0.5156092288819832,765893.5791096212,781300.8189328974,-15407.239823276177,-2311.0859734914266
0.6377671499073865,769741.2079694708,781300.8189328974,-11559.610963426647,-1733.941644513997
0.5528342240255617,767063.2221015445,781300.8189328974,-14237.596831352916,-2135.6395247029373
0.5435948014766004,766772.6766813972,781300.8189328974,-14528.142251500161,-2179.221337725024
0.5077687003811013,765647.5441024468,781300.8189328974,-15653.274830450653,-2347.991224567598
0.5188574531054744,765995.540952033,781300.8189328974,-15305.277980864397,-2295.7916971296595
0.5057864346265297,765585.3585963196,781300.8189328974,-15715.460336577846,-2357.3190504866766
0.534392177168031,766483.4419989862,781300.8189328974,-14817.376933911233,-2222.606540086685
0.5497236747748349,766965.3896892328,781300.8189328974,-14335.429243664606,-2150.314386549691
0.5030322821162488,765498.9702276536,781300.8189328974,-15801.848705243785,-2370.2773057865675
0.5230439213818794,766126.9826645491,781300.8189328974,-15173.83626834827,-2276.0754402522402
0.5224458397268401,766108.2028583128,781300.8189328974,-15192.616074584657,-2278.8924111876986
0.5437668898016691,766778.0868050177,781300.8189328974,-14522.732127879746,-2178.4098191819617
0.5066040241950781,765611.0062629804,781300.8189328974,-15689.81266991701,-2353.4719004875515
0.5668053375665707,767502.8540385894,781300.8189328974,-13797.96489430801,-2069.6947341462014
0.508336628555558,765665.3618577386,781300.8189328974,-15635.457075158833,-2345.318561273825
0.6516719354055989,770180.8511059133,781300.8189328974,-11119.967826984124,-1667.9951740476185
0.6481878076273498,770070.657711829,781300.8189328974,-11230.161221068469,-1684.5241831602702
0.5172069296927566,765943.7285745853,781300.8189328974,-15357.090358312125,-2303.563553746819
0.5015573495585077,765452.7123404219,781300.8189328974,-15848.106592475553,-2377.2159888713327
